[5744.821037721945, 4098.557386750063, 5197.239952169456, 6102.668306315096, 9628.517206124046, 16922.749378058772, 88629.36362312567]
[0, 0, 0, 0, 0, 0, 0]
[{0: 50, 4: 9}, {0: 38, 12: 1}, {0: 50, 16: 1}, {0: 62, 20: 1}, {0: 98, 32: 1}, {0: 146, 48: 1}, {0: 841, 25: 1, 27: 1, 50: 2, 51: 3, 52: 2, 53: 2, 103: 2, 105: 1, 209: 1}]
[4, 12, 16, 20, 32, 48, 25]
[896, 400, 496, 528, 736, 1216, 4640]
[4848.821037721945, 3698.5573867500634, 4701.239952169456, 5574.668306315096, 8892.517206124046, 15706.749378058772, 83989.36362312567]
[0.5306810705385788, 0.6823186244283337, 0.5914575745364901, 0.5094534507738028, 0.2963178799314774, 0.10153587136073715, 9.034706573056973e-18]
[1, 1, 1, 1, 1, 1, 1]
[0.6369088258938779, 0.7783125570686418, 0.7183288830986235, 0.6629680834613703, 0.5211953074858877, 0.3781618071286901, 0.00023382916772734632]
[0.9511698752531667, 0.9900374375390627, 0.9900374375390627, 0.9900374375390627, 0.9900374375390627, 0.9900374375390627, 0.01404717611479732]
[0.9093297114626595, 0.9502544225688344, 0.9351638519212849, 0.9203129279589389, 0.8771602801771057, 0.8227543820685894, 0.34940420354693513]
[0.963333938380057, 0.9318406922844511, 0.8893258992866626, 0.8433828139631174, 0.6546765510031681, 0.3296249022605459, 7.872237998161175e-12]
[56, 25, 31, 33, 46, 76, 290]
